,fund,e_support,s_support,g_support,e_vote,s_vote,g_vote,id,fund_manager,fund_is_esg
0,Vanguard Energy Fund,14.285714285714285,19.047619047619047,7.142857142857142,14,18,11,0,2,0
1,Vanguard European Stock Index Fund,12.5,12.5,0.0,1,3,0,1,2,0
2,Vanguard U.S. Liquidity Factor Etf,10.16949152542373,3.389830508474576,5.084745762711865,18,18,25,2,2,0
3,Vanguard Small-Cap Growth Index Fund,8.264462809917356,4.132231404958678,26.446280991735538,33,14,75,3,2,0
4,Vanguard Asset Allocation Fund,7.4029126213592225,15.169902912621358,7.4029126213592225,67,139,211,4,2,0
5,Vanguard Total International Stock Index Fund,7.347670250896058,3.046594982078853,5.28673835125448,200,168,208,5,2,0
6,Vanguard Utilities Index Fund,7.142857142857142,0.0,7.142857142857142,1,9,4,6,2,0
7,Vanguard Variable Insurance Fund-Mid-Cap Index Portfolio,6.289308176100629,6.918238993710692,15.09433962264151,21,51,87,7,2,0
8,Vanguard International Value Fund,6.097560975609756,1.2195121951219512,6.097560975609756,11,7,23,8,2,0
9,Vanguard Explorer Value Fund,5.555555555555555,11.11111111111111,33.33333333333333,1,2,6,9,2,0
10,Vanguard International Growth Fund,5.555555555555555,3.1746031746031744,3.1746031746031744,14,24,26,10,2,0
11,Vanguard Mid-Cap Growth Fund,5.555555555555555,8.333333333333332,50.0,2,4,12,11,2,0
12,Vanguard S&P Mid-Cap 400 Index Fund,5.405405405405405,4.054054054054054,21.62162162162162,7,5,25,12,2,0
13,Vanguard Explorer Fund,5.135135135135135,5.9459459459459465,29.054054054054053,70,66,237,13,2,0
14,Vanguard Equity Income Fund,5.045871559633028,11.009174311926607,3.5168195718654434,111,236,311,14,2,0
15,Vanguard Tax-Managed Balanced Fund,4.703522068658048,8.604547481052162,8.448506464556397,368,769,1151,15,2,0
16,Vanguard Russell 2000 Growth Index Fund,4.700854700854701,4.273504273504273,36.75213675213676,20,17,80,16,2,0
17,Vanguard Variable Insurance Fund-Equity Income Portfolio,4.666666666666667,7.666666666666666,3.3333333333333335,35,52,64,17,2,0
18,Vanguard Market Neutral Fund,4.400606980273141,8.649468892261002,9.484066767830047,105,219,347,18,2,0
19,Vanguard Small-Cap Value Index Fund,4.25531914893617,8.51063829787234,36.17021276595745,3,11,33,19,2,0
20,Vanguard Developed Markets Index Fund,4.166666666666666,4.166666666666666,16.666666666666664,5,3,4,20,2,0
21,Vanguard Balanced Index Fund,4.0,7.984848484848485,12.818181818181817,545,1043,1764,21,2,0
22,Vanguard High Dividend Yield Index Fund,3.880597014925373,8.805970149253731,4.179104477611941,72,132,136,22,2,0
23,Vanguard Mid-Cap Value Index Fund,3.8461538461538463,10.0,26.153846153846157,6,16,43,23,2,0
24,Vanguard Large-Cap Index Fund,3.8011695906432745,9.429824561403509,9.649122807017543,122,240,331,24,2,0
25,Vanguard U.S. Value Fund,3.7422037422037424,8.627858627858629,4.885654885654886,95,187,205,25,2,0
26,Vanguard Primecap Fund,3.6384976525821595,9.741784037558686,6.807511737089202,55,155,225,26,2,0
27,Vanguard Institutional Index Fund,3.580960854092527,8.652135231316727,6.628113879003558,359,826,1107,27,2,0
28,Vanguard Wellesley Income Fund,3.4814814814814814,6.148148148148149,1.6296296296296295,122,280,290,28,2,0
29,Vanguard Total World Stock Index Fund,3.4722222222222223,4.78395061728395,11.574074074074074,113,222,331,29,2,0
30,Vanguard Wellington Fund,3.399765533411489,9.14419695193435,3.985932004689332,140,316,407,30,2,0
31,Vanguard Institutional Total Stock Market Index Fund,3.387533875338753,5.149051490514905,13.143631436314362,134,238,384,31,2,0
32,Vanguard Windsor Fund,3.350854139290407,11.038107752956636,5.19053876478318,90,297,381,32,2,0
33,Vanguard Capital Opportunity Fund,3.0913978494623655,8.198924731182796,8.870967741935484,63,152,170,33,2,0
34,Vanguard Tax-Managed Small-Cap Fund,2.857142857142857,5.714285714285714,34.285714285714285,4,6,25,34,2,0
35,Vanguard Growth And Income Fund,2.8169014084507045,4.979879275653923,6.690140845070422,175,381,471,35,2,0
36,Vanguard Morgan Growth Fund,2.809415337889142,7.744874715261959,8.390280941533788,200,486,661,36,2,0
37,Vanguard Structured Broad Market Fund,2.7496382054992763,7.959479015918958,5.643994211287988,108,274,316,37,2,0
38,Vanguard Russell 1000 Index Fund,2.7027027027027026,9.266409266409266,8.108108108108109,42,99,123,38,2,0
39,Vanguard S&P 500 Growth Index Fund,2.3636363636363638,7.363636363636364,8.318181818181818,174,425,525,39,2,0
40,Vanguard Russell 2000 Index Fund,2.272727272727273,6.8181818181818175,65.9090909090909,1,7,36,40,2,0
41,Vanguard Strategic Equity Fund,1.4285714285714286,8.571428571428571,25.71428571428571,2,15,18,41,2,0
42,Vanguard Variable Insurance Fund-Capital Growth Portfolio,1.3719512195121952,9.146341463414634,5.7926829268292686,41,140,152,42,2,0
43,Vanguard Primecap Core Fund,0.853658536585366,4.512195121951219,5.853658536585367,47,185,195,43,2,0
44,Vanguard Global Minimum Volatility Fund,0.8264462809917356,3.3057851239669422,9.090909090909092,22,51,49,44,2,0
45,Vanguard Windsor Ii Fund,0.7299270072992701,0.36496350364963503,6.204379562043796,33,111,146,45,2,0
46,Vanguard S&P Small-Cap 600 Value Index Fund,0.0,0.0,60.0,0,1,9,46,2,0
47,Vanguard Real Estate Ii Index Fund,0.0,33.33333333333333,0.0,0,5,1,47,2,0
48,Vanguard Precious Metals And Mining Fund,0.0,7.142857142857142,14.285714285714285,1,5,1,48,2,0
49,Vanguard Pacific Stock Index Fund,0.0,0.0,4.054054054054054,42,19,18,49,2,0
50,Vanguard U.S. Multifactor Etf,0.0,2.803738317757009,14.018691588785046,6,45,60,50,2,0
51,Vanguard Managed Payout Fund,0.0,0.0,0.0,0,4,0,51,2,0
52,Vanguard Lifestrategy Growth Fund,0.0,0.0,0.0,0,2,0,52,2,0
53,Vanguard Institutional Target Retirement 2045 Fund,0.0,0.0,0.0,0,2,0,53,2,0
54,Vanguard FTSE All-World Ex-U.S. Index Fund,0.0,1.1627906976744187,1.1627906976744187,31,38,20,54,2,0
55,Vanguard Variable Insurance Fund-Reit Index Portfolio,0.0,0.0,100.0,0,0,1,55,2,0
56,Vanguard Variable Insurance Fund-Total Stock Market Index,0.0,0.0,0.0,0,1,0,56,2,0
57,Vanguard Emerging Markets Stock Index Fund,0.0,50.0,50.0,0,1,1,57,2,0
58,Vanguard Dividend Appreciation Index Fund,0.0,1.7543859649122806,3.508771929824561,3,28,27,58,2,0
59,Vanguard Capital Value Fund,0.0,7.79816513761468,6.422018348623854,7,45,60,59,2,0
