fund_name,e_support,e_vote
Vanguard Russell 2000 Index Fund,100.0,1
Vanguard Small-Cap Value Index Fund,100.0,2
Vanguard Variable Insurance Fund-Mid-Cap Index Portfolio,54.166666666666664,12
 Vanguard Mid-Cap Growth Fund,50.0,3
Vanguard Mid-Cap Value Index Fund,50.0,1
 Vanguard Explorer Value Fund,50.0,1
Vanguard Utilities Index Fund,50.0,4
 Vanguard International Growth Fund,50.0,1
Vanguard Equity Income Fund,43.103448275862064,29
Vanguard Asset Allocation Fund,42.22222222222222,45
Vanguard Us Liquidity Factor Etf,41.66666666666667,12
Vanguard Energy Fund,41.66666666666667,12
 Vanguard Explorer Fund,34.090909090909086,22
 Vanguard Mid-Cap Value Index Fund,33.33333333333333,6
 Vanguard Russell 2000 Growth Index Fund,31.25,8
Vanguard Primecap Fund,31.25,16
Vanguard Small-Cap Growth Index Fund,30.0,20
 Vanguard Tax-Managed Balanced Fund,30.0,110
 Vanguard Market Neutral Fund,29.629629629629626,27
 Vanguard Variable Insurance Fund-Equity Income Portfolio,29.166666666666668,12
Vanguard Windsor Fund,28.999999999999996,50
 Vanguard Institutional Total Stock Market Index Fund,27.941176470588236,34
Vanguard Explorer Fund,26.923076923076923,26
 Vanguard Primecap Fund,26.47058823529412,17
 Vanguard Balanced Index Fund,25.968992248062015,129
 Vanguard S &P 500 Growth Index Fund,25.757575757575758,33
Vanguard Tax-Managed Balanced Fund,25.333333333333336,150
Vanguard Tax-Managed Small-Cap Fund,25.0,4
Vanguard Strategic Equity Fund,25.0,2
 Vanguard S &P Mid-Cap 400 Index Fund,25.0,6
 Vanguard Capital Opportunity Fund,25.0,22
Vanguard Russell 2000 Growth Index Fund,25.0,6
 Vanguard Large-Cap Index Fund,24.025974025974026,77
 Vanguard Institutional Index Fund,23.943661971830984,71
 Vanguard Total World Stock Index Fund,22.5,40
Vanguard International Value Fund,22.22222222222222,9
Vanguard Market Neutral Fund,22.093023255813954,43
Vanguard Institutional Total Stock Market Index Fund,21.62162162162162,37
Vanguard Total World Stock Index Fund,21.428571428571427,42
 Vanguard Total International Stock Index Fund,21.428571428571427,7
Vanguard Balanced Index Fund,21.350364963503647,274
 Vanguard Morgan Growth Fund,21.25,40
Vanguard Capital Opportunity Fund,21.153846153846153,26
 Vanguard Windsor Fund,21.052631578947366,19
 Vanguard U.S. Value Fund,20.930232558139537,43
 Vanguard Structured Broad Market Fund,20.930232558139537,43
 Vanguard High Dividend Yield Index Fund,20.454545454545457,22
Vanguard Total International Stock Index Fund,19.166666666666668,60
Vanguard Institutional Index Fund,18.89400921658986,217
Vanguard International Growth Fund,18.75,8
Vanguard Wellesley Income Fund,18.6046511627907,86
Vanguard Wellington Fund,18.452380952380953,84
 Vanguard Equity Income Fund,18.055555555555554,36
Vanguard Growth And Income Fund,16.260162601626014,123
Vanguard Russell 1000 Index Fund,15.454545454545453,55
Vanguard Morgan Growth Fund,15.137614678899084,109
 Vanguard Variable Insurance Fund-Capital Growth Portfolio,15.0,10
Vanguard Variable Insurance Fund-Capital Growth Portfolio,14.285714285714285,28
 Vanguard Wellington Fund,13.88888888888889,36
 Vanguard Wellesley Income Fund,13.157894736842104,19
Vanguard S &P 500 Growth Index Fund,13.131313131313133,99
Vanguard High Dividend Yield Index Fund,12.962962962962962,27
Vanguard Developed Markets Index Fund,12.5,4
Vanguard U.S. Value Fund,11.363636363636363,22
Vanguard Primecap Core Fund,10.714285714285714,42
Vanguard Structured Broad Market Fund,10.204081632653061,49
Vanguard Us Multifactor Etf,10.0,10
Vanguard Global Minimum Volatility Fund,8.823529411764707,17
Vanguard Windsor Ii Fund,8.333333333333332,24
Vanguard Dividend Appreciation Index Fund,0.0,3
Vanguard European Stock Index Fund,0.0,2
Vanguard Ftse All-World Ex-Us Index Fund,0.0,11
Vanguard Capital Value Fund,0.0,6
"Ching-Tien Wu, With Id/Shareholder",0.0,1
Vanguard Pacific Stock Index Fund,0.0,17
 Vanguard Pacific Stock Index Fund,0.0,10
 Vanguard Precious Metals And Mining Fund,0.0,1
